file_pair_id,file1_path,file2_path,file1_name,file2_name,Dolphin_length,MonkeyOCR_length,length_difference,similarity_ratio,character_error_rate,word_error_rate,edit_distance,status
24,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0081.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0081.md,digibok_2007031501007_0081.md,digibok_2007031501007_0081.md,2144,2555,411,0.8640136199191317,0.25513059701492535,0.3052959501557632,547,success
25,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0082.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0082.md,digibok_2007031501007_0082.md,digibok_2007031501007_0082.md,2138,2519,381,0.6471977668026626,0.7441534144059869,0.6366559485530546,1591,success
26,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0083.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0083.md,digibok_2007031501007_0083.md,digibok_2007031501007_0083.md,3270,3337,67,0.9741183593158771,0.04128440366972477,0.11022044088176353,135,success
27,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0084.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0084.md,digibok_2007031501007_0084.md,digibok_2007031501007_0084.md,2659,2793,134,0.9416727806309612,0.09590071455434374,0.1546134663341646,255,success
28,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0085.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0085.md,digibok_2007031501007_0085.md,digibok_2007031501007_0085.md,2841,2952,111,0.9473502503020887,0.08764519535374868,0.11311053984575835,249,success
29,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0086.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0086.md,digibok_2007031501007_0086.md,digibok_2007031501007_0086.md,2948,3069,121,0.9453215888316436,0.08242876526458616,0.07174887892376682,243,success
30,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0087.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0087.md,digibok_2007031501007_0087.md,digibok_2007031501007_0087.md,2717,2884,167,0.9387609355472237,0.09937430990062569,0.14805825242718446,270,success
31,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0089.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0089.md,digibok_2007031501007_0089.md,digibok_2007031501007_0089.md,2284,2467,183,0.9223321406019785,0.13966725043782838,0.1540785498489426,319,success
32,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0090.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0090.md,digibok_2007031501007_0090.md,digibok_2007031501007_0090.md,2822,2949,127,0.9443770577023046,0.0846917080085046,0.1266490765171504,239,success
33,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0091.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0091.md,digibok_2007031501007_0091.md,digibok_2007031501007_0091.md,2666,2893,227,0.9206691851052348,0.13653413353338334,0.12165450121654502,364,success
34,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0093.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0093.md,digibok_2007031501007_0093.md,digibok_2007031501007_0093.md,2214,2462,248,0.8614200171086399,0.24661246612466126,0.19411764705882353,546,success
35,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0095.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0095.md,digibok_2007031501007_0095.md,digibok_2007031501007_0095.md,2578,2816,238,0.9113830181683352,0.14972847168347556,0.14745308310991956,386,success
36,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0096.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0096.md,digibok_2007031501007_0096.md,digibok_2007031501007_0096.md,2227,2612,385,0.741888820004133,0.5231252806466098,0.42857142857142855,1165,success
37,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0097.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0097.md,digibok_2007031501007_0097.md,digibok_2007031501007_0097.md,2923,3029,106,0.9136424731182796,0.1501881628463907,0.10681818181818181,439,success
38,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0098.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0098.md,digibok_2007031501007_0098.md,digibok_2007031501007_0098.md,2344,2518,174,0.9276018099547512,0.1318259385665529,0.13043478260869565,309,success
39,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0099.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0099.md,digibok_2007031501007_0099.md,digibok_2007031501007_0099.md,2530,2714,184,0.9378337147215866,0.11067193675889328,0.07262569832402235,280,success
40,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0100.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0100.md,digibok_2007031501007_0100.md,digibok_2007031501007_0100.md,2782,2915,133,0.6554326838687028,0.696980589503954,0.47342995169082125,1939,success
41,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0101.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0101.md,digibok_2007031501007_0101.md,digibok_2007031501007_0101.md,2143,2402,259,0.9157315731573157,0.1628558096126925,0.13125,349,success
42,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0102.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0102.md,digibok_2007031501007_0102.md,digibok_2007031501007_0102.md,3548,3554,6,0.9797240214024219,0.02452085682074408,0.08426966292134831,87,success
